CASE_COUNT,PROBABLE_CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,PROBABLE_DEATH_COUNT,CASE_COUNT_7DAY_AVG,ALL_CASE_COUNT_7DAY_AVG,HOSP_COUNT_7DAY_AVG,DEATH_COUNT_7DAY_AVG,ALL_DEATH_COUNT_7DAY_AVG,BX_CASE_COUNT,BX_PROBABLE_CASE_COUNT,BX_HOSPITALIZED_COUNT,BX_DEATH_COUNT,BX_PROBABLE_DEATH_COUNT,BX_CASE_COUNT_7DAY_AVG,BX_PROBABLE_CASE_COUNT_7DAY_AVG,BX_ALL_CASE_COUNT_7DAY_AVG,BX_HOSPITALIZED_COUNT_7DAY_AVG,BX_DEATH_COUNT_7DAY_AVG,BX_ALL_DEATH_COUNT_7DAY_AVG,BK_CASE_COUNT,BK_PROBABLE_CASE_COUNT,BK_HOSPITALIZED_COUNT,BK_DEATH_COUNT,BK_PROBABLE_DEATH_COUNT,BK_CASE_COUNT_7DAY_AVG,BK_PROBABLE_CASE_COUNT_7DAY_AVG,BK_ALL_CASE_COUNT_7DAY_AVG,BK_HOSPITALIZED_COUNT_7DAY_AVG,BK_DEATH_COUNT_7DAY_AVG,BK_ALL_DEATH_COUNT_7DAY_AVG,MN_CASE_COUNT,MN_PROBABLE_CASE_COUNT,MN_HOSPITALIZED_COUNT,MN_DEATH_COUNT,MN_PROBABLE_DEATH_COUNT,MN_CASE_COUNT_7DAY_AVG,MN_PROBABLE_CASE_COUNT_7DAY_AVG,MN_ALL_CASE_COUNT_7DAY_AVG,MN_HOSPITALIZED_COUNT_7DAY_AVG,MN_DEATH_COUNT_7DAY_AVG,MN_ALL_DEATH_COUNT_7DAY_AVG,QN_CASE_COUNT,QN_PROBABLE_CASE_COUNT,QN_HOSPITALIZED_COUNT,QN_DEATH_COUNT,QN_PROBABLE_DEATH_COUNT,QN_CASE_COUNT_7DAY_AVG,QN_PROBABLE_CASE_COUNT_7DAY_AVG,QN_ALL_CASE_COUNT_7DAY_AVG,QN_HOSPITALIZED_COUNT_7DAY_AVG,QN_DEATH_COUNT_7DAY_AVG,QN_ALL_DEATH_COUNT_7DAY_AVG,SI_CASE_COUNT,SI_PROBABLE_CASE_COUNT,SI_HOSPITALIZED_COUNT,SI_DEATH_COUNT,SI_PROBABLE_DEATH_COUNT,SI_PROBABLE_CASE_COUNT_7DAY_AVG,SI_CASE_COUNT_7DAY_AVG,SI_ALL_CASE_COUNT_7DAY_AVG,SI_HOSPITALIZED_COUNT_7DAY_AVG,SI_DEATH_COUNT_7DAY_AVG,SI_ALL_DEATH_COUNT_7DAY_AVG,Year,Month,ICD10_codes,Age Group,COVID-19 Deaths,inpatient_beds_used_covid,total_staffed_pediatric_icu_beds,all_pediatric_inpatient_beds,all_pediatric_inpatient_bed_occupied,Hispanic,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Black,Non-Hispanic More than one race,Non-Hispanic Native Hawaiian or Other Pacific Islander,Non-Hispanic White,Unknown,index,All Cause,Natural Cause,Septicemia,Malignant Neoplasms,Diabetes Mellitus,Alzheimer Disease,Influenza and Pneumonia,Chronic Lower Respiratory Diseases,Other Diseases of Respiratory System,"Nephritis, Nephrotic Syndrome and Nephrosis","Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",Diseases of Heart,Cerebrovascular Diseases,Accidents (Unintentional Injuries),Motor Vehicle Accidents,Intentional Self-Harm (Suicide),Assault (Homicide),Drug Overdose,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death)
31979,10062,1527,235,15,28815,37976,1408,231,245,3469,1660,283,34,1,3080,1499,4577,263,34,35,10812,2931,516,84,8,10068,2703,12772,480,77,88,6368,2016,178,17,0,5731,1866,7598,168,18,18,8469,2785,444,70,4,7417,2478,9898,394,72,74,2837,663,144,30,2,597,2507,3103,133,29,30,2021,11,U071,All Ages,32329.0,1502321.0,613008.0,1652515.0,1130282.0,7962.0,813.0,904.0,5478.0,176.0,85.0,48412.0,58.0,22,289079,263565,3615,50326,8781,10382,3814,12179,4066,4574,3222,59240,13989,18504.0,4018.0,3952.0,2022.0,8325.0,32328,29008
506398,68302,12060,659,49,384180,439676,9556,557,596,82621,14593,2934,119,7,58773,11235,70009,2277,95,105,152642,19412,3903,240,25,117322,15876,133199,3074,201,222,104234,13846,1911,84,2,85040,11815,96855,1520,68,70,133857,17015,2920,172,15,98041,13762,111808,2384,149,163,32832,3404,602,43,0,2774,24815,27594,481,41,41,2021,12,U071,All Ages,45626.0,2215218.0,637820.0,1730096.0,1157894.0,9737.0,932.0,1446.0,8952.0,227.0,114.0,68967.0,115.0,23,320037,293776,3834,52506,9493,10849,4679,13665,4273,5145,3736,64871,14875,19149.0,3955.0,3898.0,2136.0,8626.0,45623,41417
460364,53298,18288,3001,284,580616,647414,20449,2872,3151,78848,11479,4626,517,62,102263,14961,117221,5201,499,560,140412,14363,5554,1051,87,175002,18100,193106,6263,1007,1099,79250,9305,2919,445,49,97899,11426,109324,3262,426,472,131929,15255,4364,816,75,167483,18722,186202,4834,785,859,29797,2894,1019,172,11,3586,37810,41395,1108,154,167,2022,1,U071,All Ages,83984.0,4477915.0,246998.0,828527.0,515786.0,20909.0,1301.0,4428.0,24620.0,586.0,258.0,115340.0,406.0,24,370281,343712,4033,53196,11057,12755,4948,14595,4579,5851,3169,71528,16375,19369.0,3539.0,4156.0,2032.0,9075.0,84015,72657
27407,3240,2262,1006,36,32613,36359,2707,1226,1276,3007,425,479,174,6,3894,517,4407,580,210,221,8984,888,715,328,9,10642,1024,11671,868,413,426,6947,889,318,152,6,7882,984,8865,376,181,192,6567,813,608,269,12,7915,974,8887,709,318,333,1885,225,164,83,3,250,2264,2512,203,100,105,2022,2,U071,All Ages,50284.0,2215848.0,259515.0,1206239.0,818372.0,12118.0,1007.0,2543.0,11422.0,323.0,105.0,72388.0,125.0,25,290985,266656,3354,46424,8536,10489,3589,11724,3786,4932,2611,58148,13853,17756.0,3272.0,3825.0,1849.0,8599.0,50298,41041
25808,4323,895,237,14,23222,27051,907,263,277,1957,462,170,45,3,1786,423,2206,174,49,51,8236,1185,250,74,3,7434,1044,8481,256,80,80,9574,1562,160,32,4,8564,1389,9955,155,37,41,4752,884,244,61,4,4291,773,5060,248,71,77,1274,230,80,25,0,201,1131,1334,82,27,27,2022,3,U071,All Ages,15624.0,762682.0,289678.0,1379630.0,944014.0,3315.0,227.0,481.0,3220.0,51.0,24.0,23174.0,33.0,26,268873,242796,3567,51026,8606,9542,3504,12236,4018,5090,2683,58847,13957,18955.0,3679.0,4125.0,1968.0,9317.0,15627,10993
58956,11337,1588,122,7,55760,66324,1468,122,128,4895,1435,277,16,1,4535,1281,5815,250,17,17,17462,2989,457,34,3,16534,2799,19332,424,42,45,18721,3377,360,21,1,18255,3257,21512,334,24,24,14229,2931,392,37,2,12976,2659,15637,367,32,34,3611,605,116,14,0,562,3427,3987,112,9,9,2022,4,U071,All Ages,6264.0,466846.0,276730.0,1355087.0,921882.0,1083.0,54.0,188.0,1191.0,29.0,11.0,9434.0,10.0,27,246758,222071,3306,48986,7745,8951,3324,11583,3784,4610,2598,55351,13248,17638.0,3498.0,4039.0,2081.0,8677.0,6265,3671
101954,21999,3075,222,25,101210,123052,3006,212,237,11074,3636,570,27,5,10795,3560,14360,563,29,33,30802,5493,887,85,8,30537,5463,35994,865,78,88,23848,5446,616,34,4,23941,5436,29378,610,31,34,28725,5965,769,57,5,28557,5965,34519,752,53,58,7413,1458,267,19,3,1418,7291,8710,254,15,20,2022,5,U071,All Ages,7632.0,723235.0,293177.0,1429815.0,973543.0,1075.0,49.0,382.0,1267.0,34.0,13.0,12085.0,17.0,28,255107,228813,3355,50661,7885,9389,3425,12069,3803,4627,2616,56367,13230,18693.0,3962.0,4407.0,2259.0,8976.0,7633,4818
80734,17875,3363,287,25,78976,96271,3237,280,305,10532,3397,669,42,0,10080,3250,13327,617,39,39,23939,4580,1031,90,7,23522,4435,27953,1004,89,93,17775,4003,609,50,4,17486,3896,21378,586,49,50,23263,4874,848,82,8,22700,4695,27393,821,78,89,5173,1021,237,23,6,1027,5142,6165,236,24,34,2022,6,U071,All Ages,9537.0,923794.0,286743.0,1383453.0,931253.0,1630.0,65.0,546.0,1673.0,46.0,16.0,14692.0,20.0,29,249000,222477,3292,49225,7705,9040,3160,11413,3694,4497,2636,54452,12698,19254.0,3991.0,4290.0,2235.0,9017.0,9539,6238
102386,25330,5028,371,34,104645,130176,5016,355,389,15721,5614,1078,56,2,15844,5611,21460,1089,50,51,29497,6039,1413,111,12,30212,6122,36338,1406,109,122,20747,4756,910,57,5,21530,4899,26428,916,53,60,29887,7156,1300,115,10,30419,7168,37591,1288,111,120,6475,1765,398,32,5,1727,6573,8294,391,32,38,2022,7,U071,All Ages,13391.0,1264476.0,296382.0,1424118.0,935335.0,2450.0,93.0,869.0,2712.0,57.0,20.0,20085.0,32.0,30,261005,233033,3370,51195,7966,9431,3072,11233,3916,4548,2834,56567,13297,20434.0,4205.0,4378.0,2371.0,9665.0,13393,8943
66943,16903,4146,413,25,69354,86931,4224,421,446,11084,3871,971,75,3,11533,4005,15533,994,77,78,19030,4048,1258,119,7,19710,4189,23902,1275,121,130,12885,2721,717,60,7,13295,2853,16150,729,61,69,19581,5143,957,124,7,20305,5348,25650,973,128,137,4343,1120,287,35,1,1183,4494,5675,298,39,41,2022,8,U071,All Ages,14136.0,1263441.0,298790.0,1369223.0,917025.0,2360.0,112.0,811.0,2825.0,66.0,15.0,21536.0,37.0,31,259789,232752,3322,51604,7704,9407,2905,11258,3760,4507,2966,55705,13234,19614.0,4202.0,4359.0,2248.0,9316.0,14139,9354
47398,12546,3196,296,25,47211,59773,3175,301,326,7329,2685,637,47,3,7375,2745,10124,643,52,58,13641,3061,980,85,9,13585,3059,16645,970,81,91,9717,2207,501,41,3,9614,2187,11802,507,44,44,13334,3708,878,96,5,13400,3714,17119,867,93,97,3371,885,231,27,5,855,3221,4075,219,30,32,2022,9,U071,All Ages,11124.0,954151.0,292351.0,1266559.0,892953.0,1670.0,80.0,466.0,2009.0,37.0,11.0,17484.0,30.0,32,251639,225460,3360,50314,7623,9139,2967,11086,3764,4512,2767,54011,12964,19217.0,4260.0,4123.0,2078.0,8956.0,11125,7051
50034,13763,3648,365,34,50162,63825,3639,358,388,7511,2502,702,64,4,7446,2473,9917,693,62,64,14193,3289,1036,97,7,14200,3256,17458,1022,96,100,10342,2470,651,64,3,10443,2461,12906,641,60,67,14333,4378,997,104,14,14231,4340,18576,1001,104,121,3647,1124,289,36,6,1128,3835,4959,306,38,44,2022,10,U071,All Ages,9712.0,834524.0,303598.0,1323768.0,968204.0,1129.0,81.0,351.0,1570.0,41.0,3.0,15696.0,23.0,33,265706,239088,3517,52108,8426,10230,3409,12122,4014,4758,3100,57760,13908,19643.0,4288.0,4089.0,2106.0,9195.0,9713,6081
67242,18142,4566,449,35,62465,79636,4332,440,472,11116,3627,945,65,6,10230,3417,13647,886,64,70,20196,4784,1374,142,10,18698,4528,23228,1302,136,146,12658,3079,820,66,4,11921,2953,14877,790,68,72,19768,5586,1217,143,13,18326,5238,23566,1152,141,151,3488,1065,242,33,2,1030,3273,4300,238,36,37,2022,11,U071,All Ages,10033.0,873458.0,286241.0,1252383.0,950328.0,1336.0,67.0,568.0,1572.0,34.0,6.0,16005.0,37.0,34,268815,243355,3700,51124,8486,10244,4870,12932,4215,4759,3163,59255,13907,18892.0,3849.0,3921.0,1913.0,8947.0,10036,6382
84560,24894,6199,685,66,86964,111948,6140,650,711,14458,5120,1309,113,14,14790,5145,19934,1293,107,122,25169,6196,1742,203,12,26002,6248,32248,1778,200,208,15142,4043,1091,113,9,15640,4043,19680,1063,102,110,24835,7309,1654,200,23,25602,7444,33043,1640,192,214,4939,2226,446,56,8,2109,4909,7019,415,52,58,2022,12,U071,All Ages,14382.0,1253079.0,285729.0,1246471.0,894440.0,2342.0,82.0,915.0,2341.0,61.0,18.0,22369.0,71.0,35,301278,274202,4173,53402,9651,11539,7990,15298,4810,5326,3536,66795,15055,20387.0,3805.0,3962.0,1925.0,9620.0,14383,9752
57597,16872,4667,626,49,61088,79152,5005,654,707,10459,3746,965,103,13,11122,3976,15093,1047,105,122,17365,4191,1299,189,17,18290,4482,22770,1351,198,216,9947,2684,795,96,4,10472,2901,13373,868,104,106,16126,4665,1274,185,14,17282,4986,22263,1381,198,209,3682,1586,368,53,1,1724,3911,5638,398,56,58,2023,1,U071,All Ages,14963.0,1240111.0,280847.0,1220643.0,848827.0,2241.0,76.0,861.0,2776.0,48.0,18.0,23206.0,58.0,36,289362,263621,4066,52429,8940,10923,5931,14209,4736,5154,3654,63221,14919,18748.0,3402.0,4239.0,2005.0,8952.0,14877,10018
21900,6232,2022,300,24,24415,31334,2235,337,360,3529,1214,416,42,3,4051,1383,5434,469,50,54,6671,1492,581,95,4,7448,1667,9119,652,106,110,4339,1131,365,53,3,4701,1188,5886,399,56,59,5731,1743,500,75,9,6393,1943,8337,543,83,94,1619,652,189,35,5,736,1811,2544,202,36,43,2023,2,U071,All Ages,9043.0,804665.0,251435.0,1109378.0,793862.0,1196.0,50.0,447.0,1726.0,31.0,11.0,14014.0,22.0,37,249084,226272,3295,47676,7931,9251,3745,12102,4019,4501,3534,55514,12845,16751.0,3131.0,3733.0,1633.0,7955.0,8985,5799
