CASE_COUNT,PROBABLE_CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,PROBABLE_DEATH_COUNT,CASE_COUNT_7DAY_AVG,ALL_CASE_COUNT_7DAY_AVG,HOSP_COUNT_7DAY_AVG,DEATH_COUNT_7DAY_AVG,ALL_DEATH_COUNT_7DAY_AVG,BX_CASE_COUNT,BX_PROBABLE_CASE_COUNT,BX_HOSPITALIZED_COUNT,BX_DEATH_COUNT,BX_PROBABLE_DEATH_COUNT,BX_CASE_COUNT_7DAY_AVG,BX_PROBABLE_CASE_COUNT_7DAY_AVG,BX_ALL_CASE_COUNT_7DAY_AVG,BX_HOSPITALIZED_COUNT_7DAY_AVG,BX_DEATH_COUNT_7DAY_AVG,BX_ALL_DEATH_COUNT_7DAY_AVG,BK_CASE_COUNT,BK_PROBABLE_CASE_COUNT,BK_HOSPITALIZED_COUNT,BK_DEATH_COUNT,BK_PROBABLE_DEATH_COUNT,BK_CASE_COUNT_7DAY_AVG,BK_PROBABLE_CASE_COUNT_7DAY_AVG,BK_ALL_CASE_COUNT_7DAY_AVG,BK_HOSPITALIZED_COUNT_7DAY_AVG,BK_DEATH_COUNT_7DAY_AVG,BK_ALL_DEATH_COUNT_7DAY_AVG,MN_CASE_COUNT,MN_PROBABLE_CASE_COUNT,MN_HOSPITALIZED_COUNT,MN_DEATH_COUNT,MN_PROBABLE_DEATH_COUNT,MN_CASE_COUNT_7DAY_AVG,MN_PROBABLE_CASE_COUNT_7DAY_AVG,MN_ALL_CASE_COUNT_7DAY_AVG,MN_HOSPITALIZED_COUNT_7DAY_AVG,MN_DEATH_COUNT_7DAY_AVG,MN_ALL_DEATH_COUNT_7DAY_AVG,QN_CASE_COUNT,QN_PROBABLE_CASE_COUNT,QN_HOSPITALIZED_COUNT,QN_DEATH_COUNT,QN_PROBABLE_DEATH_COUNT,QN_CASE_COUNT_7DAY_AVG,QN_PROBABLE_CASE_COUNT_7DAY_AVG,QN_ALL_CASE_COUNT_7DAY_AVG,QN_HOSPITALIZED_COUNT_7DAY_AVG,QN_DEATH_COUNT_7DAY_AVG,QN_ALL_DEATH_COUNT_7DAY_AVG,SI_CASE_COUNT,SI_PROBABLE_CASE_COUNT,SI_HOSPITALIZED_COUNT,SI_DEATH_COUNT,SI_PROBABLE_DEATH_COUNT,SI_PROBABLE_CASE_COUNT_7DAY_AVG,SI_CASE_COUNT_7DAY_AVG,SI_ALL_CASE_COUNT_7DAY_AVG,SI_HOSPITALIZED_COUNT_7DAY_AVG,SI_DEATH_COUNT_7DAY_AVG,SI_ALL_DEATH_COUNT_7DAY_AVG,Year,Month,ICD10_codes,Age Group,COVID-19 Deaths,inpatient_beds_used_covid,total_staffed_pediatric_icu_beds,all_pediatric_inpatient_beds,all_pediatric_inpatient_bed_occupied,Hispanic,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Black,Non-Hispanic More than one race,Non-Hispanic Native Hawaiian or Other Pacific Islander,Non-Hispanic White,Unknown,index,All Cause,Natural Cause,Septicemia,Malignant Neoplasms,Diabetes Mellitus,Alzheimer Disease,Influenza and Pneumonia,Chronic Lower Respiratory Diseases,Other Diseases of Respiratory System,"Nephritis, Nephrotic Syndrome and Nephrosis","Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",Diseases of Heart,Cerebrovascular Diseases,Accidents (Unintentional Injuries),Motor Vehicle Accidents,Intentional Self-Harm (Suicide),Assault (Homicide),Drug Overdose,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death)
138622,35291,11365,2068,163,140880,176072,11248,1953,2116,26385,7229,2343,324,26,26737,7094,33835,2293,303,326,40712,10078,3441,670,60,41160,10002,51163,3412,643,702,19333,5577,1576,271,16,19425,5447,24868,1559,254,270,41206,9903,3341,633,55,41866,10067,51932,3320,588,643,10956,2496,769,170,6,2570,11663,14234,774,167,177,2021,1,U071,All Ages,105566.0,3911715.0,576403.0,1597354.0,925287.0,40192.0,2241.0,9581.0,24227.0,677.0,311.0,133131.0,283.0,12,373642,348017,3688,51602,10254,12781,4245,12792,4141,5237,2886,65336,15112,18467.0,3446.0,3893.0,2154.0,8858.0,105566,96438
86509,25150,9137,2093,107,89309,114713,9326,2126,2231,17968,5290,2077,419,15,18541,5413,23956,2127,421,439,25876,7397,2864,662,31,26631,7426,34056,2911,671,702,12779,4218,1348,310,12,13142,4291,17434,1382,308,319,24376,6765,2525,589,47,25352,6789,32144,2556,604,650,5501,1477,409,113,2,1486,5622,7104,430,120,120,2021,2,U071,All Ages,48570.0,2043187.0,493809.0,1340270.0,824163.0,20308.0,912.0,4432.0,13398.0,227.0,135.0,57103.0,127.0,13,282548,259720,3366,46084,8504,9974,3377,10826,3556,4390,2478,56164,13143,16384.0,2814.0,3568.0,1826.0,7761.0,48570,42857
92055,31016,8554,1744,72,91161,121987,8569,1796,1869,15819,5604,1694,335,11,15858,5577,21439,1709,345,349,28102,8965,2699,529,20,27944,8964,36909,2690,542,562,13394,5311,1146,265,17,13243,5240,18481,1172,282,301,27426,9127,2570,498,22,26996,9075,36072,2584,509,534,7311,2006,538,117,2,1964,7119,9084,509,116,120,2021,3,U071,All Ages,23268.0,1316948.0,546737.0,1467757.0,906967.0,8973.0,247.0,2049.0,7379.0,81.0,39.0,27114.0,45.0,14,271042,245457,3392,50318,8623,9853,3333,11496,3757,4562,2622,57732,13689,18505.0,3540.0,3992.0,1935.0,9339.0,23268,19633
54335,17434,5355,1223,52,60001,79352,5834,1283,1342,8535,3264,970,198,3,9515,3613,13128,1067,214,217,17874,5267,1809,430,19,19388,5782,25172,1961,449,470,7092,2689,640,158,8,8003,3072,11073,687,166,173,15970,4937,1623,368,19,17768,5471,23239,1772,385,407,4853,1275,360,68,3,1407,5318,6726,401,73,76,2021,4,U071,All Ages,18806.0,1320653.0,528757.0,1410465.0,896496.0,6029.0,145.0,1285.0,7172.0,68.0,40.0,22357.0,41.0,15,257047,231263,3046,49280,8124,8899,3057,11002,3507,4286,2536,55127,13144,18900.0,3904.0,3720.0,2068.0,9490.0,18805,16020
13560,4226,1739,554,16,16349,21416,1997,627,643,2296,887,311,81,5,2746,1061,3805,345,90,96,4419,1324,592,195,6,5431,1592,7025,687,220,226,1708,547,237,74,1,2030,665,2690,266,85,85,3897,1114,518,160,1,4664,1340,6002,595,182,183,1233,354,105,44,3,412,1474,1885,122,49,50,2021,5,U071,All Ages,14989.0,992385.0,540062.0,1454326.0,924935.0,4530.0,173.0,826.0,5923.0,74.0,36.0,17890.0,30.0,16,258360,231635,3111,50587,8021,9156,2926,11369,3713,4303,2585,55421,13129,19139.0,4123.0,4093.0,2361.0,9334.0,14989,12744
5263,1513,742,196,5,5151,6637,758,215,217,968,354,147,25,1,971,352,1328,161,29,30,1466,380,252,73,2,1435,385,1823,257,76,79,875,272,88,26,2,833,247,1082,92,28,33,1344,340,197,58,0,1343,339,1681,196,62,62,605,167,66,14,0,158,563,720,67,12,12,2021,6,U071,All Ages,8024.0,567283.0,566385.0,1546278.0,978910.0,2470.0,78.0,246.0,2519.0,41.0,26.0,10095.0,9.0,17,245269,218347,3158,49258,7766,8804,2839,11191,3587,4125,2685,53632,12478,19472.0,4147.0,4077.0,2296.0,9073.0,8024,6561
18822,6515,1283,117,6,15957,21548,1126,111,115,2460,1086,226,20,1,2075,913,2986,196,21,21,6217,1949,409,33,2,5256,1661,6910,361,32,34,3931,1533,185,18,1,3369,1366,4735,162,13,13,4394,1512,369,36,2,3691,1269,4957,320,38,38,1791,435,118,10,0,380,1546,1928,103,7,7,2021,7,U071,All Ages,11222.0,887252.0,605475.0,1681040.0,1096894.0,3224.0,170.0,395.0,3465.0,68.0,68.0,14437.0,18.0,18,257929,230220,3419,51281,7841,9056,3121,11754,3740,4291,2886,55368,13065,20078.0,4267.0,4090.0,2407.0,9441.0,11222,9741
46437,12128,3311,303,16,45529,57684,3208,285,298,7103,2357,713,42,1,6868,2330,9200,670,43,44,15106,3544,1039,114,10,14829,3569,18400,1005,110,113,8657,2384,460,38,1,8518,2369,10888,444,39,43,11273,2954,881,76,3,11143,3016,14156,867,71,74,4264,889,264,33,1,876,4129,5007,255,27,29,2021,8,U071,All Ages,48821.0,2657505.0,603840.0,1625873.0,1073743.0,14944.0,859.0,1523.0,16546.0,327.0,300.0,62562.0,68.0,19,304054,276343,3405,52355,8731,9739,3412,12189,3842,4415,3141,58456,13308,19943.0,4370.0,4366.0,2304.0,9415.0,48822,45466
39087,11566,2580,380,23,40077,51539,2708,376,399,5391,2321,529,70,4,5645,2287,7929,567,69,72,13504,3550,850,129,9,13688,3506,17193,882,131,143,7410,2085,389,38,2,7608,2126,9734,411,37,37,9234,2788,668,119,5,9411,2715,12124,700,114,120,3515,822,187,24,3,833,3693,4524,199,26,30,2021,9,U071,All Ages,63446.0,2778875.0,588384.0,1589597.0,1107008.0,18226.0,1157.0,1970.0,18069.0,532.0,330.0,86008.0,94.0,20,312516,285697,3544,50314,8689,9968,3534,11809,3801,4538,3151,56766,13211,19278.0,4303.0,4232.0,2272.0,8994.0,63444,59213
25280,7763,1626,295,17,26981,35412,1718,309,331,2875,1377,302,43,2,3128,1559,4688,322,47,49,10226,2629,559,92,7,10777,2813,13591,595,98,108,4345,1382,244,31,3,4685,1457,6138,248,33,34,5516,1854,428,103,5,5934,2031,7963,455,107,114,2305,520,131,26,0,567,2437,3006,135,30,30,2021,10,U071,All Ages,42607.0,1832637.0,620098.0,1691598.0,1171241.0,10800.0,1051.0,1370.0,9782.0,314.0,136.0,60946.0,97.0,21,300219,273380,3763,52119,8592,9981,3675,12178,3971,4566,3070,58660,13972,19170.0,4513.0,4267.0,2332.0,8809.0,42606,38771
